idx	x	y	z	shell	standoff	V_R_Eh	V_TS_Eh	dv_Eh	dv_kcal_per_e
1049	66.4393	34.5834	52.7956	4.0	3.997	-0.143550432	-0.141343259	0.002207173	1.3850
1050	66.0667	35.3117	53.8945	4.0	3.998	-0.150084803	-0.148544584	0.001540220	0.9665
1051	66.8638	28.9931	58.5978	5.0	4.996	-0.117326907	-0.116615447	0.000711461	0.4464
1052	62.1973	42.0568	58.5062	5.0	4.996	-0.119611559	-0.120249705	-0.000638146	-0.4004
1053	53.1402	39.9417	57.0528	4.0	3.997	-0.132808775	-0.133590734	-0.000781959	-0.4907
1054	63.8866	30.5932	47.4640	5.0	4.997	-0.114068004	-0.111077062	0.002990942	1.8768
1055	51.5989	31.7366	49.2900	5.0	4.997	-0.099077801	-0.099193474	-0.000115673	-0.0726
1056	65.2134	31.9982	58.5310	3.0	2.995	-0.158989105	-0.158885792	0.000103314	0.0648
1057	63.1373	28.2315	49.7666	4.0	3.996	-0.130193162	-0.125859820	0.004333342	2.7192
1058	56.5404	40.0250	50.4637	5.0	4.997	-0.120862580	-0.121105670	-0.000243090	-0.1525
1059	61.0468	33.9109	49.1314	3.0	3.001	-0.156264006	-0.153243045	0.003020962	1.8957
1060	64.7896	36.2888	56.8497	3.0	2.995	-0.162146830	-0.162682753	-0.000535923	-0.3363
1061	58.6767	26.1172	52.3695	5.0	5.000	-0.124600546	-0.122648176	0.001952370	1.2251
1062	62.8962	27.3568	50.8947	4.0	3.997	-0.132580378	-0.128347007	0.004233370	2.6565
1063	55.3598	30.6954	60.4585	3.0	2.996	-0.135849481	-0.140242788	-0.004393307	-2.7568
1064	58.6862	29.8657	49.1991	4.0	3.996	-0.140216334	-0.136826197	0.003390137	2.1273
1065	53.3268	41.2200	55.8768	5.0	4.997	-0.119949025	-0.120590898	-0.000641873	-0.4028
1066	55.1444	29.5689	62.2535	5.0	4.997	-0.109820788	-0.112383734	-0.002562946	-1.6083
1067	52.0570	30.0924	50.9337	4.0	3.997	-0.106083837	-0.106420447	-0.000336609	-0.2112
1068	57.0931	25.0196	55.5842	5.0	4.997	-0.109379262	-0.109270404	0.000108858	0.0683
1069	55.8965	42.5412	55.4766	5.0	4.997	-0.121930500	-0.122423598	-0.000493098	-0.3094
1070	58.6255	37.4859	61.2558	3.0	2.995	-0.165811395	-0.167975694	-0.002164298	-1.3581
1071	56.9213	31.2830	48.8751	4.0	4.001	-0.134144550	-0.132112785	0.002031766	1.2750
1072	62.8785	34.0335	47.2715	5.0	4.998	-0.118594210	-0.116404927	0.002189283	1.3738
1073	61.6755	39.6357	61.7107	5.0	4.997	-0.124062202	-0.125213681	-0.001151478	-0.7226
1074	61.1253	33.0604	62.6622	4.0	4.001	-0.136244379	-0.139299597	-0.003055218	-1.9172
1075	52.0085	40.1988	57.4668	5.0	4.997	-0.115670966	-0.116418355	-0.000747389	-0.4690
1076	56.4303	37.6851	49.2704	4.0	3.998	-0.124386185	-0.124253755	0.000132430	0.0831
1077	62.0271	36.4435	49.2184	4.0	3.996	-0.136686505	-0.135343663	0.001342842	0.8426
1078	66.3629	30.4146	49.3061	5.0	4.998	-0.114903206	-0.111856242	0.003046964	1.9120
1079	55.4647	33.5641	49.3942	3.0	2.996	-0.134955783	-0.134100263	0.000855520	0.5368
1080	63.1815	26.5163	54.2838	4.0	3.996	-0.137098091	-0.134139551	0.002958540	1.8565
1081	62.3183	26.2468	54.9269	4.0	3.996	-0.136556999	-0.134230349	0.002326650	1.4600
1082	64.6806	29.1616	51.9931	3.0	2.994	-0.155569554	-0.149533783	0.006035771	3.7875
1083	50.1073	32.6733	56.6707	4.0	3.996	-0.106539785	-0.107347263	-0.000807478	-0.5067
1084	61.5418	40.5296	61.1885	5.0	4.997	-0.121933376	-0.122909595	-0.000976220	-0.6126
1085	62.6161	38.2318	60.8891	4.0	3.997	-0.138164300	-0.139665396	-0.001501096	-0.9420
1086	57.5523	32.6221	49.3039	3.0	2.995	-0.149559430	-0.147159720	0.002399709	1.5058
1087	54.5815	39.4979	50.7367	5.0	4.996	-0.117223869	-0.117615953	-0.000392084	-0.2460
1088	59.4428	38.1794	52.0523	3.0	2.998	-0.170655224	-0.171017186	-0.000361962	-0.2271
1089	62.9483	36.5335	52.1752	3.0	2.994	-0.171727884	-0.170964446	0.000763438	0.4791
1090	56.2852	39.3900	61.2025	4.0	3.996	-0.138856808	-0.140008037	-0.001151229	-0.7224
1091	59.0521	42.9704	58.7192	5.0	4.998	-0.118122655	-0.118667227	-0.000544572	-0.3417
