idx	x	y	z	shell	standoff	V_R_Eh	V_TS_Eh	dv_Eh	dv_kcal_per_e
833	67.2029	31.9273	54.5110	4.0	4.000	-0.143402005	-0.140434076	0.002967928	1.8624
834	54.3325	27.2158	53.3110	4.0	4.000	-0.112742174	-0.112780156	-0.000037982	-0.0238
835	52.5325	36.1273	51.5157	4.0	4.000	-0.122942504	-0.123577133	-0.000634629	-0.3982
836	61.5325	38.5530	51.2110	4.0	4.000	-0.144295917	-0.143844917	0.000451000	0.2830
837	67.0344	32.5273	53.0110	4.0	4.000	-0.142378743	-0.139020387	0.003358356	2.1074
838	60.3777	27.4273	59.9110	4.0	3.999	-0.126321424	-0.127989622	-0.001668199	-1.0468
839	60.0325	28.3273	49.6242	4.0	3.999	-0.135610651	-0.131311889	0.004298762	2.6975
840	52.7384	39.1273	58.7110	4.0	3.999	-0.131178963	-0.132218076	-0.001039112	-0.6521
841	64.5325	31.6273	60.3991	4.0	4.000	-0.139407049	-0.140809181	-0.001402132	-0.8799
842	51.8328	35.5273	59.3110	4.0	4.000	-0.128657105	-0.130356235	-0.001699130	-1.0662
843	53.4325	27.4783	53.6110	4.0	4.000	-0.108198937	-0.108540475	-0.000341538	-0.2143
844	59.7325	35.8273	47.2169	5.0	5.000	-0.117284229	-0.115829240	0.001454989	0.9130
845	57.3325	32.8273	64.2623	5.0	5.000	-0.113666722	-0.116938818	-0.003272096	-2.0533
846	66.9502	27.7273	55.7110	5.0	5.000	-0.118509592	-0.116473732	0.002035861	1.2775
847	49.8325	29.2273	53.4655	5.0	4.998	-0.091163850	-0.091542847	-0.000378997	-0.2378
848	59.1325	43.2127	57.8110	5.0	5.000	-0.118936084	-0.119562248	-0.000626164	-0.3929
849	50.6643	37.6273	58.1110	5.0	5.000	-0.113715652	-0.114759487	-0.001043835	-0.6550
850	65.9367	36.4273	60.2110	5.0	5.000	-0.121142453	-0.122236936	-0.001094484	-0.6868
851	57.9325	25.2606	57.8110	5.0	5.000	-0.109127010	-0.109535531	-0.000408521	-0.2564
852	60.6325	26.8273	49.6375	5.0	4.999	-0.119015612	-0.115730295	0.003285316	2.0616
853	66.9325	35.4308	51.8110	5.0	4.999	-0.126199743	-0.124385528	0.001814215	1.1384
854	52.1935	36.1273	50.0110	5.0	5.000	-0.108529718	-0.108736082	-0.000206364	-0.1295
855	63.6325	29.8273	61.5688	5.0	5.000	-0.122275369	-0.123810184	-0.001534815	-0.9631
856	52.6678	29.2273	60.5110	5.0	4.999	-0.101423007	-0.103253516	-0.001830508	-1.1487
857	56.7325	39.4273	62.4583	5.0	4.999	-0.123894219	-0.125454222	-0.001560003	-0.9789
858	57.0325	40.8965	51.8110	5.0	5.000	-0.127358000	-0.127684296	-0.000326296	-0.2048
859	54.6325	30.7273	48.1583	5.0	5.000	-0.108965241	-0.107895236	0.001070006	0.6714
860	63.0768	40.6273	53.3110	5.0	5.000	-0.128179722	-0.128304025	-0.000124303	-0.0780
861	65.1325	30.7273	48.0895	5.0	4.999	-0.115133689	-0.111818850	0.003314839	2.0801
862	55.5325	26.0434	53.0110	5.0	5.006	-0.109534188	-0.108952245	0.000581943	0.3652
863	60.6325	36.4273	63.5696	5.0	5.000	-0.123060014	-0.125513407	-0.002453393	-1.5395
864	54.0325	41.6917	56.3110	5.0	5.000	-0.122494297	-0.123158614	-0.000664317	-0.4169
865	68.1325	32.7575	56.6110	5.0	4.999	-0.124107216	-0.122928141	0.001179075	0.7399
866	62.4325	25.3529	54.2110	5.0	5.000	-0.121621799	-0.119323757	0.002298041	1.4420
867	49.1023	34.0273	55.1110	5.0	5.000	-0.099478329	-0.100155287	-0.000676958	-0.4248
