row	idx	x	y	z	shell	standoff
239	239	60.2280	42.7394	58.9039	5.0	4.997
240	240	60.5244	29.7133	47.3776	5.0	4.996
241	241	64.7013	29.7025	61.0650	5.0	4.997
242	242	58.7344	26.3794	54.2881	4.0	3.999
243	243	62.1080	39.9066	51.7861	5.0	4.998
244	244	65.7050	27.8931	56.2983	4.0	3.998
245	245	63.7300	26.0353	52.4437	5.0	4.997
246	246	63.1487	32.6912	47.0648	5.0	4.997
247	247	63.8535	33.5944	61.4488	4.0	4.004
248	248	57.9280	38.9664	48.9976	5.0	4.997
249	249	60.6077	41.0569	61.1921	5.0	4.997
250	250	54.6696	29.8651	59.7637	3.0	2.996
251	251	64.2032	37.6466	50.9004	5.0	5.001
252	252	53.7698	29.5955	61.6188	5.0	4.997
253	253	52.4573	35.7189	58.0975	3.0	2.997
254	254	63.4467	26.7491	57.3120	4.0	3.996
255	255	62.2019	27.5582	57.3164	3.0	2.995
256	256	56.9535	26.3043	52.1257	5.0	4.998
257	257	64.7296	31.2672	50.2673	3.0	2.996
258	258	60.6572	25.1926	55.1726	5.0	4.998
259	259	58.1488	42.6988	59.3118	5.0	4.998
260	260	67.0190	30.9231	50.0255	5.0	4.998
261	261	58.1289	37.4985	47.9367	5.0	4.997
262	262	54.8634	40.1165	51.9801	5.0	4.996
263	263	59.6991	41.6739	52.2797	5.0	4.996
264	264	58.6307	27.9301	61.6606	5.0	4.996
265	265	53.7845	31.2249	48.2317	5.0	4.997
266	266	62.7643	37.4315	50.7128	4.0	3.996
267	267	53.7260	29.0047	52.2789	3.0	2.998
268	268	53.6037	38.5988	60.5309	4.0	3.997
269	269	51.6134	33.4151	58.8257	4.0	3.998
270	270	62.8562	40.1319	60.4866	5.0	4.997
271	271	64.0380	30.3673	50.0150	3.0	2.997
272	272	63.5594	37.4718	54.3759	3.0	2.993
273	273	56.2334	25.1781	54.8470	5.0	4.997
274	274	65.2482	37.3670	60.7401	5.0	4.997
275	275	58.6278	40.9813	52.9404	4.0	3.997
276	276	60.0426	35.6417	49.3064	3.0	2.996
277	277	58.6468	40.0874	53.4448	3.0	2.995
278	278	57.3878	41.5454	59.0428	4.0	3.998
279	279	65.7894	33.4572	60.7851	5.0	4.998
280	280	57.7711	29.7818	61.7202	4.0	3.997
281	281	57.3905	40.4070	54.2336	3.0	2.997
282	282	51.1825	27.9016	57.3497	5.0	4.995
283	283	56.7572	43.0009	56.3886	5.0	4.998
284	284	60.1422	27.5330	61.3904	5.0	4.997
285	285	56.4069	27.0216	56.1578	3.0	2.996
286	286	56.5963	25.7207	53.2975	5.0	4.997
287	287	60.2086	32.1968	47.9998	4.0	3.997
288	288	67.6228	28.9781	54.5547	5.0	4.998
289	289	66.8102	33.7237	53.6372	4.0	3.999
290	290	65.1676	36.4018	53.7313	4.0	4.008
291	291	57.2988	27.5386	52.0686	4.0	4.010
292	292	54.4511	38.5474	49.5446	5.0	4.996
293	293	58.7014	27.6731	51.7086	4.0	3.996
294	294	59.8387	40.4003	61.9246	5.0	4.996
295	295	48.9262	32.9298	55.8086	5.0	4.998
296	296	64.2503	37.9172	53.7311	4.0	3.998
297	297	51.5694	37.6272	53.5993	5.0	5.004
298	298	59.3053	39.2839	61.4877	4.0	3.995
299	299	67.0099	30.1076	56.3274	4.0	3.999
300	300	61.9336	28.6794	47.8238	5.0	4.997
301	301	58.2263	28.6518	59.6004	3.0	2.999
302	302	64.1773	29.8374	60.2000	4.0	3.999
303	303	65.9996	26.7988	54.7248	5.0	4.998
304	304	61.2480	26.5535	53.0822	4.0	3.998
305	305	61.3590	37.4501	51.3146	3.0	2.994
306	306	54.8597	40.2373	54.3077	4.0	3.996
307	307	66.7842	31.4099	57.8865	4.0	3.996
308	308	63.7954	37.9514	56.0590	3.0	2.996
309	309	52.7336	29.1952	51.0582	4.0	3.996
310	310	51.3788	33.4840	56.7046	3.0	2.995
311	311	67.1227	32.0962	49.9882	5.0	4.997
312	312	53.9102	39.9949	59.1665	4.0	3.996
313	313	65.2750	31.1028	49.4171	4.0	3.997
314	314	63.9879	39.2846	60.4725	5.0	4.997
315	315	63.6647	27.0313	52.9362	4.0	3.997
316	316	65.7227	29.4705	58.7113	4.0	3.999
317	317	58.5808	28.0859	49.1635	5.0	4.998
318	318	64.9955	27.7617	53.3907	4.0	4.000
319	319	54.7091	27.4723	52.2649	4.0	3.996
320	320	56.4806	29.0488	48.8679	5.0	4.997
321	321	65.7240	32.3723	57.7115	3.0	2.996
