idx	x_ang	y_ang	z_ang	shell	V_R	V_TS	Dv
273	59.4303	27.3630	51.4815	4.0	-0.140223	-0.136812	0.003411
274	66.3479	28.8475	54.3343	4.0	-0.137026	-0.133761	0.003265
275	65.0163	35.5517	50.7974	4.0	-0.140337	-0.138356	0.001981
276	62.3360	27.3369	58.9213	4.0	-0.133780	-0.134091	-0.000312
277	62.9256	35.9109	60.6435	3.0	-0.153463	-0.155641	-0.002178
278	66.5522	29.5875	57.3402	4.0	-0.133199	-0.131762	0.001438
279	54.0131	27.4889	58.3947	4.0	-0.107796	-0.109228	-0.001432
280	63.0135	28.7977	50.6537	3.0	-0.151161	-0.145049	0.006112
281	62.3441	30.6910	60.0676	3.0	-0.161236	-0.163980	-0.002744
282	65.9532	28.3005	56.7614	4.0	-0.132258	-0.130482	0.001776
283	59.5375	40.8826	60.2379	4.0	-0.135988	-0.136834	-0.000846
284	62.7417	33.9818	59.7796	2.0	-0.177936	-0.181026	-0.003090
285	59.4635	40.2532	56.1919	2.0	-0.185916	-0.186539	-0.000624
286	56.5579	39.4769	56.1433	2.0	-0.202496	-0.202999	-0.000502
287	58.5210	37.9373	59.9090	2.0	-0.198648	-0.200070	-0.001422
288	57.7455	28.1191	55.8081	2.0	-0.156183	-0.156615	-0.000432
289	54.7205	35.3281	48.7163	4.0	-0.118173	-0.117887	0.000286
290	61.0107	28.5613	60.6332	4.0	-0.133334	-0.135447	-0.002113
291	64.4459	34.0269	60.8907	4.0	-0.137788	-0.139249	-0.001461
292	62.6166	29.0172	60.3531	4.0	-0.137143	-0.138570	-0.001427
293	53.7428	36.8839	50.2692	4.0	-0.121305	-0.121662	-0.000357
294	60.0474	36.0148	50.7313	2.0	-0.170530	-0.169575	0.000955
295	54.2270	32.5662	61.4683	4.0	-0.129636	-0.133109	-0.003473
296	59.4609	30.2943	62.0579	4.0	-0.132433	-0.136142	-0.003709
297	50.3378	32.1848	57.3194	4.0	-0.106423	-0.107319	-0.000896
298	60.7130	26.1654	57.1492	4.0	-0.130856	-0.130467	0.000390
299	55.0757	37.0147	61.0004	3.0	-0.154652	-0.156722	-0.002070
300	65.0871	29.9663	58.0999	3.0	-0.153719	-0.152830	0.000889
301	60.9991	32.5515	47.8795	4.0	-0.134337	-0.131252	0.003086
302	62.9317	37.4187	53.4779	3.0	-0.173706	-0.173658	0.000048
303	52.9998	36.0781	60.9617	4.0	-0.130308	-0.132177	-0.001869
304	62.8313	29.3613	57.9844	2.0	-0.182042	-0.182169	-0.000127
305	55.4632	33.5125	61.3774	3.0	-0.150340	-0.155320	-0.004980
306	50.5781	33.7968	52.5415	4.0	-0.108823	-0.109606	-0.000783
307	64.9588	33.2239	55.7822	2.0	-0.199138	-0.196329	0.002809
308	51.4775	30.0003	54.8486	3.0	-0.107989	-0.108682	-0.000693
309	55.2835	26.2998	56.8443	4.0	-0.110402	-0.111224	-0.000822
310	53.4242	30.0743	51.2737	3.0	-0.121404	-0.121822	-0.000418
311	57.5402	39.3870	61.3182	4.0	-0.142292	-0.143498	-0.001206
312	61.9693	26.8634	51.6941	4.0	-0.135569	-0.131628	0.003941
313	60.0274	38.0110	59.6560	2.0	-0.193904	-0.195576	-0.001672
314	55.6054	41.3004	56.3273	4.0	-0.141218	-0.141789	-0.000571
315	52.8157	30.5010	53.4938	2.0	-0.124736	-0.126110	-0.001375
316	63.8572	34.8086	54.0708	2.0	-0.208398	-0.206818	0.001580
317	59.3404	38.8045	61.6994	4.0	-0.142211	-0.143682	-0.001471
318	52.6943	30.4049	59.4793	4.0	-0.113935	-0.115908	-0.001973
319	55.9972	39.4676	59.5766	3.0	-0.161083	-0.161837	-0.000754
320	57.9352	26.3873	54.4404	4.0	-0.130500	-0.129597	0.000903
321	61.7003	41.2736	58.1249	4.0	-0.135177	-0.135938	-0.000761
322	57.3167	38.7555	59.1195	2.0	-0.201584	-0.201960	-0.000375
323	53.8726	36.8062	58.6310	2.0	-0.178374	-0.179721	-0.001347
324	60.8095	28.6682	49.1006	4.0	-0.132413	-0.128422	0.003991
325	65.9673	34.2756	50.8737	4.0	-0.136687	-0.134043	0.002644
326	57.1081	39.4616	51.5251	4.0	-0.140454	-0.140924	-0.000470
327	58.0777	27.5542	59.9502	4.0	-0.123798	-0.125955	-0.002158
328	66.8448	30.8406	52.5210	4.0	-0.137373	-0.133660	0.003713
329	63.0760	31.0939	61.3151	4.0	-0.137670	-0.139665	-0.001995
330	56.7539	33.9466	50.0034	2.0	-0.155131	-0.153435	0.001696
