idx	x	y	z	shell	standoff	V_R_Eh	V_TS_Eh	dv_Eh	dv_kcal_per_e
177	63.4658	35.5847	62.8813	5.0	4.997	-0.119212445	-0.121198428	-0.001985983	-1.2462
178	50.5838	34.9186	50.9815	5.0	4.998	-0.102291992	-0.102703277	-0.000411285	-0.2581
179	60.3697	33.2939	47.9874	4.0	4.003	-0.136205612	-0.133210634	0.002994978	1.8794
180	61.1060	31.0710	60.8189	3.0	2.996	-0.154064592	-0.159070741	-0.005006149	-3.1414
181	58.9206	41.7714	59.0082	4.0	3.998	-0.135894248	-0.136724032	-0.000829785	-0.5207
182	55.2912	30.1718	61.3968	4.0	3.998	-0.120150698	-0.123868774	-0.003718076	-2.3331
183	59.4261	37.5563	48.1112	5.0	4.998	-0.119078058	-0.118161262	0.000916796	0.5753
184	55.5119	30.3053	48.2181	5.0	4.998	-0.113158441	-0.111697274	0.001461167	0.9169
185	60.9373	42.0389	59.8525	5.0	4.998	-0.119658294	-0.120607804	-0.000949510	-0.5958
186	60.4929	28.0367	51.7018	3.0	2.995	-0.159460410	-0.153662450	0.005797961	3.6383
187	52.9424	35.3721	60.8827	4.0	3.995	-0.130920212	-0.133286733	-0.002366521	-1.4850
188	59.3731	26.0422	57.4794	4.0	3.998	-0.123769384	-0.123884998	-0.000115614	-0.0725
189	59.3191	42.8878	54.2414	5.0	4.997	-0.120951865	-0.121353621	-0.000401756	-0.2521
190	66.2269	31.9321	54.7501	3.0	2.998	-0.167295090	-0.163315429	0.003979661	2.4973
191	55.2643	38.0434	48.6366	5.0	4.996	-0.110600760	-0.110356959	0.000243800	0.1530
192	56.6759	35.8873	61.5392	3.0	3.013	-0.163228267	-0.167684966	-0.004456698	-2.7966
193	52.8016	40.5806	55.0638	5.0	4.998	-0.120508349	-0.121236968	-0.000728620	-0.4572
194	59.8541	30.2901	60.5473	3.0	3.015	-0.152052061	-0.157877418	-0.005825357	-3.6555
195	52.7594	32.8618	59.7359	4.0	3.999	-0.128819727	-0.131471259	-0.002651532	-1.6639
196	62.9610	29.7504	61.7924	5.0	5.005	-0.122587242	-0.124470704	-0.001883462	-1.1819
