idx	x	y	z	shell	standoff	nx	ny	nz
517	58.2325	31.9273	48.4733	4.0	4.000	-0.1703	-0.2950	-0.9402
518	64.2325	38.9621	58.1110	4.0	3.999	0.6519	0.7207	0.2358
519	60.9325	35.5273	48.3266	4.0	4.000	0.2631	0.3386	-0.9034
520	59.1325	29.0872	49.4110	4.0	3.999	-0.4040	-0.5440	-0.7354
521	64.1943	37.0273	60.5110	4.0	3.999	0.6487	0.3102	0.6949
522	61.2325	40.3273	52.9859	4.0	4.000	0.4037	0.6193	-0.6735
523	64.5325	30.1273	49.1576	4.0	4.000	0.5052	-0.3797	-0.7750
524	56.1325	34.9273	48.1105	4.0	4.000	-0.2339	0.1015	-0.9669
525	51.0821	30.7273	51.8110	4.0	4.000	-0.8509	-0.3015	-0.4301
526	55.9158	40.6273	59.6110	4.0	3.998	-0.2069	0.8739	0.4399
527	65.2768	36.7273	54.5110	4.0	4.000	0.8982	0.3149	-0.3069
528	53.3170	28.9273	59.3110	4.0	3.999	-0.7208	-0.4902	0.4900
529	52.2325	28.0273	56.4205	4.0	3.998	-0.5080	-0.8225	0.2558
530	57.6325	30.1273	49.5153	4.0	3.999	-0.1249	-0.5290	-0.8394
531	60.6325	26.1110	56.9110	4.0	4.000	0.2726	-0.9539	0.1255
532	53.4325	37.9483	60.8110	4.0	4.000	-0.5862	0.4005	0.7043
533	51.0325	35.1071	52.7110	4.0	3.998	-0.8353	0.4496	-0.3166
534	54.8967	37.0273	49.4110	4.0	3.999	-0.4578	0.5546	-0.6948
535	51.8936	37.9273	55.7110	4.0	4.000	-0.8754	0.4049	-0.2642
536	58.2325	40.6273	52.6079	4.0	3.999	-0.0945	0.7324	-0.6743
537	65.5890	27.7273	55.1110	4.0	3.999	0.6742	-0.7312	-0.1037
538	61.2107	30.1273	48.2110	4.0	3.999	-0.0823	-0.3304	-0.9402
539	56.1325	37.0273	62.3558	4.0	4.000	-0.1546	0.1856	0.9704
540	56.7325	41.9241	56.3110	4.0	4.000	-0.4004	0.9133	-0.0748
541	53.4325	37.9476	52.4110	4.0	4.000	-0.7402	0.6411	-0.2026
542	63.6923	31.0273	60.8110	4.0	3.999	0.6014	-0.4259	0.6759
543	60.1777	42.1273	57.2110	4.0	3.998	0.2498	0.9577	0.1431
544	55.6679	27.7273	51.5110	4.0	3.998	-0.0501	-0.8635	-0.5019
545	60.0325	30.7273	62.1923	4.0	3.999	0.3404	-0.5135	0.7877
546	56.2725	40.9273	53.9110	4.0	3.998	-0.5046	0.7020	-0.5025
547	57.4480	28.9273	61.1110	4.0	3.998	0.1061	-0.4788	0.8715
548	60.5225	27.4273	50.6110	4.0	3.998	-0.1399	-0.8365	-0.5298
