idx	x	y	z	shell	standoff	nx	ny	nz
196	62.9610	29.7504	61.7924	5.0	5.005	0.3868	-0.5180	0.7629
197	66.9059	32.9400	59.4549	5.0	4.997	0.7814	0.1887	0.5948
198	55.5912	32.5511	49.6667	3.0	2.997	-0.3641	-0.3775	-0.8514
199	51.8352	36.1445	61.1752	5.0	4.998	-0.7630	0.0647	0.6432
200	57.6396	27.0348	51.1138	5.0	5.007	0.1357	-0.8113	-0.5686
201	67.6634	29.8668	53.3127	5.0	4.999	0.9305	-0.3219	-0.1747
202	60.7630	34.0412	47.0060	5.0	4.998	0.1734	0.0438	-0.9839
203	65.8503	35.2744	51.9676	4.0	3.996	0.7902	0.5488	-0.2726
204	64.9551	37.5376	54.6978	4.0	3.997	0.8070	0.4759	-0.3496
205	62.0751	26.8464	51.7741	4.0	3.998	0.0797	-0.9484	-0.3069
206	66.3476	35.5933	50.6655	5.0	4.998	0.7444	0.5404	-0.3921
207	59.7195	31.4984	47.1242	5.0	4.998	-0.3001	-0.0960	-0.9491
208	67.8240	32.5794	57.8866	5.0	4.998	0.9226	0.1403	0.3595
209	58.4320	36.6565	49.8689	3.0	2.994	0.2548	0.4754	-0.8421
210	53.6584	34.8657	50.9230	3.0	3.028	-0.5114	0.2503	-0.8220
211	63.4981	39.5919	55.3360	4.0	3.995	0.8346	0.5018	-0.2273
212	54.1026	36.1445	48.1306	5.0	4.998	-0.4824	0.3240	-0.8138
213	65.0890	30.1277	48.2545	5.0	4.999	0.5418	-0.2863	-0.7903
214	56.7312	27.0418	59.3383	4.0	3.999	-0.0676	-0.7873	0.6128
215	58.4516	41.0359	55.0082	3.0	2.995	-0.0962	0.9292	-0.3569
216	66.6518	29.7518	50.0643	5.0	4.998	0.7912	-0.3702	-0.4868
217	62.0920	29.8356	48.3535	4.0	3.998	0.0811	-0.3877	-0.9182
218	62.1605	28.9049	60.3551	4.0	3.998	0.0996	-0.5286	0.8430
219	64.2325	29.8247	58.8751	3.0	2.999	0.5212	-0.4586	0.7197
220	62.8214	39.0233	56.4477	3.0	2.994	0.8760	0.4820	-0.0153
221	51.6727	32.8513	52.2017	3.0	2.997	-0.8789	0.0980	-0.4669
222	60.7855	29.0593	59.7877	3.0	2.993	0.3197	-0.5214	0.7912
223	59.8297	43.2550	56.5173	5.0	4.997	0.1642	0.9863	-0.0180
224	53.4334	33.8264	59.1774	3.0	2.996	-0.7477	-0.4483	0.4898
225	58.4312	26.6955	60.6315	5.0	4.995	-0.1552	-0.7135	0.6832
226	63.1990	26.8662	49.8524	5.0	4.996	0.2556	-0.8006	-0.5419
227	56.5612	32.3234	61.8036	3.0	2.995	-0.3845	-0.2961	0.8744
228	60.6134	40.8817	55.6422	3.0	2.997	0.3565	0.9085	-0.2178
229	62.0097	32.8049	48.9149	3.0	2.997	0.0983	0.1270	-0.9870
230	50.1104	29.6739	52.2491	5.0	4.996	-0.8002	-0.4063	-0.4410
231	60.0004	24.9756	56.8008	5.0	4.998	0.0842	-0.9948	0.0579
232	63.2391	28.3184	51.5738	3.0	2.996	0.3625	-0.8538	-0.3737
233	56.7909	39.0399	50.7083	4.0	3.996	-0.0881	0.8589	-0.5045
234	60.0082	37.8211	51.2645	3.0	2.997	0.0515	0.8764	-0.4788
235	58.6443	32.3806	47.1989	5.0	4.996	-0.1655	-0.2473	-0.9547
236	54.8578	41.2889	60.0009	5.0	4.997	-0.3116	0.8302	0.4622
237	66.0746	32.9683	54.9259	3.0	2.995	0.9505	0.2824	-0.1293
238	51.8759	29.6545	58.3508	4.0	3.996	-0.6288	-0.4852	0.6076
239	60.2280	42.7394	58.9039	5.0	4.997	0.2089	0.9137	0.3486
240	60.5244	29.7133	47.3776	5.0	4.996	-0.1614	-0.3723	-0.9140
241	64.7013	29.7025	61.0650	5.0	4.997	0.4515	-0.3197	0.8330
242	58.7344	26.3794	54.2881	4.0	3.999	-0.0313	-0.9604	-0.2770
243	62.1080	39.9066	51.7861	5.0	4.998	0.4670	0.4778	-0.7441
244	65.7050	27.8931	56.2983	4.0	3.998	0.6999	-0.7051	0.1142
245	63.7300	26.0353	52.4437	5.0	4.997	0.3452	-0.9305	-0.1226
246	63.1487	32.6912	47.0648	5.0	4.997	0.2517	0.0872	-0.9639
247	63.8535	33.5944	61.4488	4.0	4.004	0.6072	-0.0217	0.7942
248	57.9280	38.9664	48.9976	5.0	4.997	0.0715	0.7037	-0.7069
249	60.6077	41.0569	61.1921	5.0	4.997	0.2531	0.6515	0.7152
250	54.6696	29.8651	59.7637	3.0	2.996	-0.5221	-0.3891	0.7590
251	64.2032	37.6466	50.9004	5.0	5.001	0.7026	0.5780	-0.4150
252	53.7698	29.5955	61.6188	5.0	4.997	-0.4996	-0.3106	0.8087
253	52.4573	35.7189	58.0975	3.0	2.997	-0.9767	-0.0383	0.2110
254	63.4467	26.7491	57.3120	4.0	3.996	0.3047	-0.8947	0.3265
255	62.2019	27.5582	57.3164	3.0	2.995	0.1253	-0.9154	0.3825
256	56.9535	26.3043	52.1257	5.0	4.998	-0.0964	-0.8483	-0.5207
257	64.7296	31.2672	50.2673	3.0	2.996	0.6872	-0.2013	-0.6980
258	60.6572	25.1926	55.1726	5.0	4.998	0.2286	-0.9561	-0.1834
259	58.1488	42.6988	59.3118	5.0	4.998	-0.1111	0.8901	0.4420
260	67.0190	30.9231	50.0255	5.0	4.998	0.8516	-0.1910	-0.4882
261	58.1289	37.4985	47.9367	5.0	4.997	0.1228	0.4700	-0.8741
