#     Step;   Iter;    t_Ener;    t_Grad;       Temp;             E_Pot;        Delta E;      RMS(Grad);      Max(Grad);    Max(Step)
       154;      7;     74.25;     43.86;           ;    -1076.26835324;    -0.00075675;         2.2900;        14.5332;     0.022563
       155;      7;     71.88;     41.69;           ;    -1076.26858261;    -0.00022937;         3.2219;        31.6880;     0.021232
       156;      7;     71.02;     45.36;           ;    -1076.26932856;    -0.00074594;         2.2824;        13.3956;     0.009157
       157;      5;     64.92;     43.84;           ;    -1076.26952445;    -0.00019590;         3.1845;        40.1725;     0.007772
       158;      7;     68.43;     42.90;           ;    -1076.27022026;    -0.00069581;         2.2557;        13.5235;     0.021917
       159;      5;     60.39;     42.32;           ;    -1076.27037043;    -0.00015017;         3.0861;        33.6488;     0.016161
       160;      7;     69.29;     43.07;           ;    -1076.27099456;    -0.00062413;         2.2061;        13.2469;     0.006793
       161;      7;     73.27;     40.78;           ;    -1076.27115091;    -0.00015635;         2.8817;        26.7243;     0.005502
       162;     10;     84.26;     40.11;           ;    -1076.27179931;    -0.00064840;         2.4176;        23.2076;     0.034741
       163;      7;     68.96;     42.36;           ;    -1076.27185274;    -0.00005343;         3.0627;        39.6740;     0.014047
       164;      7;     66.85;     49.30;           ;    -1076.27246519;    -0.00061245;         2.2566;        14.7918;     0.010013
       165;      5;     61.79;     41.96;           ;    -1076.27255040;    -0.00008521;         2.8341;        27.2460;     0.005371
       166;      5;     64.83;     42.37;           ;    -1076.27321029;    -0.00065989;         2.1671;        10.4561;     0.026755
       167;      5;     64.99;     42.15;           ;    -1076.27337127;    -0.00016099;         3.0890;        24.1222;     0.022068
       168;      7;     75.03;     44.76;           ;    -1076.27404206;    -0.00067079;         2.1679;        13.8366;     0.012982
       169;      7;     72.86;     46.86;           ;    -1076.27421429;    -0.00017223;         2.9600;        21.8510;     0.010657
       170;      4;     61.50;     41.74;           ;    -1076.27487694;    -0.00066265;         2.1801;        11.0244;     0.025938
       171;      4;     58.23;     42.02;           ;    -1076.27508869;    -0.00021174;         3.1213;        29.4181;     0.025882
       172;      7;     76.83;     45.92;           ;    -1076.27578206;    -0.00069337;         2.2388;        14.5377;     0.012578
       173;      7;     70.16;     45.59;           ;    -1076.27593786;    -0.00015580;         3.0381;        29.1909;     0.009504
       174;      7;     67.88;     42.31;           ;    -1076.27661671;    -0.00067885;         2.3309;        16.9356;     0.038162
       175;      7;     69.69;     41.66;           ;    -1076.27669552;    -0.00007881;         3.0306;        29.5589;     0.019448
       176;      7;     72.46;     41.73;           ;    -1076.27732620;    -0.00063068;         2.2908;        19.0658;     0.016044
       177;      5;     60.87;     41.87;           ;    -1076.27740470;    -0.00007850;         2.8824;        29.1027;     0.008038
       178;      7;     74.48;     44.01;           ;    -1076.27807846;    -0.00067377;         2.3043;        15.4427;     0.038744
       179;      7;     68.74;     41.83;           ;    -1076.27818329;    -0.00010483;         3.1654;        43.0916;     0.024050
       180;      7;     71.76;     42.23;           ;    -1076.27884962;    -0.00066634;         2.1550;        12.7434;     0.014482
       181;      7;     70.69;     41.11;           ;    -1076.27896220;    -0.00011258;         2.8252;        27.0212;     0.008972
       182;      7;     68.06;     43.64;           ;    -1076.27953890;    -0.00057670;         2.0162;        10.5342;     0.025681
       183;      7;     71.00;     45.83;           ;    -1076.27975222;    -0.00021332;         2.8372;        17.4659;     0.028289
       184;      7;     74.84;     41.18;           ;    -1076.28033750;    -0.00058528;         1.9955;        10.5791;     0.012934
       185;      7;     74.29;     42.81;           ;    -1076.28048648;    -0.00014898;         2.7420;        21.6180;     0.010546
       186;      7;     72.16;     41.95;           ;    -1076.28104253;    -0.00055605;         2.0315;        12.0182;     0.031769
       187;      7;     74.37;     44.63;           ;    -1076.28116482;    -0.00012229;         2.7651;        26.3622;     0.024398
       188;      8;     71.11;     42.36;           ;    -1076.28168656;    -0.00052173;         2.1466;        14.5944;     0.017828
       189;      5;     67.07;     47.43;           ;    -1076.28171475;    -0.00002819;         2.5267;        23.7360;     0.005265
       190;      8;     73.32;     41.44;           ;    -1076.28222859;    -0.00051385;         1.9877;        10.3347;     0.036733
       191;      7;     68.84;     41.19;           ;    -1076.28230165;    -0.00007306;         2.6117;        20.6383;     0.021238
       192;      7;     74.32;     40.41;           ;    -1076.28280831;    -0.00050666;         1.9170;        14.1262;     0.014458
       193;      5;     60.37;     43.03;           ;    -1076.28286747;    -0.00005916;         2.4785;        25.5107;     0.006884
       194;      8;     83.17;     47.06;           ;    -1076.28330081;    -0.00043334;         1.7953;         9.4654;     0.019909
       195;      8;     73.99;     47.40;           ;    -1076.28341204;    -0.00011123;         2.5117;        28.2261;     0.016556
       196;      5;     66.19;     45.70;           ;    -1076.28383805;    -0.00042601;         1.7277;         8.7246;     0.012036
       197;      7;     71.37;     41.27;           ;    -1076.28395987;    -0.00012182;         2.3504;        18.4144;     0.010817
       198;      7;     69.44;     42.88;           ;    -1076.28435473;    -0.00039486;         1.6555;         8.5973;     0.013726
       199;      7;     73.37;     42.57;           ;    -1076.28448244;    -0.00012771;         2.3320;        15.6591;     0.013730
       200;      8;     71.44;     47.22;           ;    -1076.28486264;    -0.00038020;         1.5682;         8.8214;     0.010633
       201;      7;     70.72;     43.42;           ;    -1076.28496497;    -0.00010233;         2.1110;        16.7244;     0.009220
       202;      7;     62.96;     41.57;           ;    -1076.28530667;    -0.00034170;         1.5745;        10.9633;     0.018500
       203;      7;     67.94;     46.59;           ;    -1076.28540799;    -0.00010132;         2.2429;        20.9596;     0.017161
       204;      5;     59.14;     42.51;           ;    -1076.28575052;    -0.00034253;         1.5712;         9.9822;     0.011802
       205;      5;     63.09;     41.55;           ;    -1076.28580391;    -0.00005338;         2.0167;        19.4532;     0.006909
       206;      7;     77.55;     45.67;           ;    -1076.28611946;    -0.00031555;         1.5729;         9.4523;     0.023672
       207;      7;     71.38;     41.73;           ;    -1076.28617642;    -0.00005695;         2.1205;        21.0654;     0.015631
       208;      5;     64.81;     50.17;           ;    -1076.28648680;    -0.00031039;         1.5369;        11.9741;     0.010628
       209;      5;     67.83;     42.92;           ;    -1076.28652368;    -0.00003687;         1.9308;        20.4457;     0.005108
       210;      6;     50.98;     44.52;           ;    -1076.28681509;    -0.00029142;         1.5334;         8.8528;     0.023862
       211;      6;     60.07;     42.85;           ;    -1076.28687381;    -0.00005872;         2.1185;        25.8016;     0.016983
       212;      7;     53.59;     39.95;           ;    -1076.28718439;    -0.00031058;         1.4989;         9.7147;     0.010686
       213;      7;     53.27;     39.65;           ;    -1076.28724038;    -0.00005599;         1.9497;        16.5420;     0.006839
       214;      6;     47.58;     38.33;           ;    -1076.28753424;    -0.00029386;         1.4532;         9.0632;     0.023116
       215;      6;     40.84;     27.77;           ;    -1076.28760217;    -0.00006792;         2.0034;        21.4844;     0.018141
       216;      5;     30.01;     25.66;           ;    -1076.28789268;    -0.00029051;         1.4773;         8.8342;     0.010637
       217;      3;     26.53;     27.47;           ;    -1076.28794239;    -0.00004971;         1.9750;        21.8920;     0.006640
       218;      7;     35.51;     25.39;           ;    -1076.28821806;    -0.00027567;         1.4568;         7.3884;     0.019889
       219;      6;     31.56;     23.30;           ;    -1076.28826829;    -0.00005023;         1.9454;        19.2513;     0.013104
       220;      5;     27.47;     23.45;           ;    -1076.28853858;    -0.00027029;         1.3991;         6.9969;     0.010098
       221;      5;     26.96;     23.88;           ;    -1076.28860205;    -0.00006347;         1.8836;        17.6669;     0.007787
       222;      6;     28.93;     25.32;           ;    -1076.28886266;    -0.00026061;         1.3346;         7.4817;     0.015634
       223;      6;     29.39;     23.99;           ;    -1076.28892978;    -0.00006712;         1.8516;        15.9340;     0.013066
       224;      5;     27.77;     22.93;           ;    -1076.28917111;    -0.00024133;         1.2929;         8.0653;     0.013684
       225;      5;     28.60;     23.78;           ;    -1076.28923527;    -0.00006416;         1.7798;        17.8573;     0.012003
       226;      5;     27.94;     23.29;           ;    -1076.28945386;    -0.00021859;         1.2549;         6.9969;     0.010234
       227;      5;     28.27;     22.84;           ;    -1076.28950270;    -0.00004884;         1.7077;        17.0158;     0.007702
       228;      6;     34.49;     23.22;           ;    -1076.28971278;    -0.00021007;         1.3709;        11.4875;     0.026221
       229;      6;     29.70;     23.08;           ;    -1076.28974295;    -0.00003017;         1.7767;        27.2762;     0.015128
       230;      5;     29.39;     23.80;           ;    -1076.28996514;    -0.00022219;         1.4213;        12.5416;     0.013838
       231;      3;     23.54;     23.23;           ;    -1076.28997525;    -0.00001011;         1.6554;        15.3939;     0.003645
       232;      8;     33.39;     23.91;           ;    -1076.29019441;    -0.00021916;         1.2467;         7.6971;     0.021710
       233;      7;     33.89;     23.55;           ;    -1076.29023631;    -0.00004190;         1.7135;        19.1188;     0.015005
       234;      7;     31.19;     23.36;           ;    -1076.29044479;    -0.00020847;         1.1918;         9.4832;     0.010247
       235;      5;     29.47;     23.20;           ;    -1076.29049140;    -0.00004661;         1.6266;        16.3015;     0.007631
       236;      8;     33.14;     23.28;           ;    -1076.29068609;    -0.00019469;         1.1888;         9.0248;     0.015001
       237;      8;     33.29;     23.61;           ;    -1076.29077068;    -0.00008460;         1.7181;        16.0672;     0.018446
       238;      5;     28.79;     23.32;           ;    -1076.29099202;    -0.00022134;         1.2067;         8.5486;     0.012830
