idx	x_ang	y_ang	z_ang	shell	Dv	standoff
90	19.9098	47.7400	59.1031	3	0.00434500	4.5160
91	20.8603	36.4954	61.3750	2	-0.00346400	3.1940
92	23.7961	41.5153	52.6446	2	0.00016800	3.1924
93	14.3427	37.9891	56.5360	4	-0.00277100	5.5172
94	18.2431	44.1104	54.1082	2	-0.00135900	3.1926
95	22.8479	36.6829	50.9360	3	-0.00121800	4.5159
96	26.9221	43.4235	58.7255	3	0.00342400	4.3247
97	25.4350	42.3922	61.5271	3	0.00445600	4.7013
98	18.8296	45.3937	51.3254	4	0.00007900	5.5171
99	24.9985	44.6720	53.4276	3	0.00120400	4.1955
