idx	x_ang	y_ang	z_ang	shell	V_R	V_TS	Dv
210	19.5716	36.4261	60.1640	2.0	-0.153610	-0.160835	-0.007224
211	29.9487	38.6185	57.1117	4.0	-0.111379	-0.111685	-0.000307
212	27.9232	38.6559	57.0137	2.0	-0.141426	-0.143142	-0.001715
213	15.6059	40.4408	60.0547	3.0	-0.150014	-0.152500	-0.002486
214	29.6668	39.2310	58.8426	4.0	-0.114832	-0.114705	0.000126
215	19.2792	38.8806	61.7716	2.0	-0.164319	-0.167403	-0.003085
216	28.1891	35.7661	54.0923	4.0	-0.109087	-0.109922	-0.000835
217	20.0243	45.0536	55.2996	2.0	-0.220560	-0.219849	0.000712
218	24.8569	45.6724	56.9490	2.0	-0.189689	-0.185418	0.004272
219	20.1023	39.9915	48.6178	4.0	-0.138367	-0.138490	-0.000123
220	26.7926	43.7519	61.1028	4.0	-0.144585	-0.141165	0.003420
221	14.6940	41.3767	56.7493	3.0	-0.151328	-0.153209	-0.001881
222	19.3259	45.9757	59.4230	2.0	-0.210692	-0.204900	0.005792
223	24.1827	48.1352	60.8835	4.0	-0.136316	-0.132404	0.003912
224	19.0051	35.4108	56.9472	2.0	-0.165287	-0.174554	-0.009267
225	19.6761	46.2158	56.9182	2.0	-0.206590	-0.203393	0.003197
226	21.7355	35.3751	54.9607	2.0	-0.177191	-0.181876	-0.004684
227	18.9694	40.5558	50.7502	2.0	-0.188944	-0.188209	0.000735
228	20.4822	44.9616	50.5676	4.0	-0.144655	-0.144410	0.000245
229	26.7383	35.9990	52.8359	4.0	-0.120082	-0.120999	-0.000917
230	14.1456	40.8670	54.3792	4.0	-0.138751	-0.140189	-0.001438
231	16.0898	40.2055	50.2887	4.0	-0.135288	-0.135835	-0.000547
232	27.9480	33.5868	56.4052	4.0	-0.097416	-0.098210	-0.000794
233	19.5257	42.6654	65.0212	4.0	-0.131361	-0.129423	0.001938
234	20.0238	44.4994	64.8725	4.0	-0.131179	-0.128425	0.002754
235	16.3526	43.2138	53.0694	3.0	-0.162970	-0.164009	-0.001040
236	22.8382	47.0722	56.8074	2.0	-0.188894	-0.184110	0.004784
237	23.0630	37.6249	49.4705	4.0	-0.135718	-0.136389	-0.000671
238	29.3084	40.7656	56.3203	4.0	-0.124222	-0.123715	0.000507
239	26.0615	47.3414	56.5296	4.0	-0.137644	-0.135102	0.002542
240	26.8513	36.3051	55.5279	2.0	-0.128639	-0.130171	-0.001532
241	16.8919	36.0083	54.9290	3.0	-0.152943	-0.157500	-0.004557
