idx	x_ang	y_ang	z_ang	shell
294	50.3166	33.1003	55.4318	4.0
295	58.7384	37.0949	61.4308	3.0
296	62.8305	35.1685	52.8804	2.0
297	59.1235	29.6383	52.0658	2.0
298	60.9624	29.3210	58.5768	2.0
299	60.4436	39.8242	55.5663	2.0
300	56.3673	28.5464	60.5737	4.0
301	53.0194	35.9399	50.9603	4.0
302	65.4932	35.7208	53.8083	4.0
303	63.8204	29.2415	53.4521	2.0
304	64.0627	33.8934	61.3096	4.0
305	54.9133	28.1286	53.5730	3.0
306	65.3862	28.6873	55.0164	3.0
307	62.2018	36.4293	49.2389	4.0
308	60.0631	40.0181	52.2892	4.0
309	55.7057	41.0917	54.9624	4.0
310	59.7844	32.4345	62.4995	4.0
311	63.6140	34.6059	58.5163	2.0
312	54.3650	33.1437	57.9530	2.0
313	57.9025	28.4646	50.8273	4.0
314	50.5577	32.3630	53.2646	4.0
315	64.9200	31.4005	52.3774	2.0
316	59.5392	38.5036	50.5962	4.0
317	55.9853	30.6976	50.2521	3.0
318	56.4226	29.9131	51.9812	2.0
319	55.2747	38.2767	59.0409	2.0
320	62.2709	35.9020	59.8587	2.0
321	63.5263	37.2251	52.0179	4.0
322	57.7464	30.4432	61.9307	4.0
323	65.9615	35.5227	56.8383	4.0
324	65.9232	28.6683	52.3518	4.0
325	57.1889	36.9243	48.6548	4.0
